id,date,weight,createdAt
fd2ae7ab-c5ee-4fdc-be43-dd703b83455d,9/10/25,255,2026-02-26T04:01:17.587Z
ab84c17a-dd90-411d-8d1e-11ce5a4e5de0,9/22/25,245,2026-02-26T04:01:17.849Z
2eca0e23-6515-49aa-9d48-150f5edd0c9f,10/9/25,238,2026-02-26T04:01:18.075Z
274301c8-e01a-40a5-b6dc-26472e690cd0,10/16/25,235,2026-02-26T04:01:18.215Z
fa38fa0a-3f10-4dfe-8509-493a6b2ad63a,10/19/25,234,2026-02-26T04:01:18.433Z
1813235f-58cb-4cd6-a677-7e3cff8c86e8,10/22/25,233,2026-02-26T04:01:18.653Z
a08957fd-eab4-41ac-a380-297928c760bc,10/25/25,231,2026-02-26T04:01:18.860Z
e1fa1189-0d95-4404-8d72-d306c9d17f26,10/29/25,229,2026-02-26T04:01:18.999Z
257f54fd-72fb-4b7f-b6b0-c130a22965bd,10/31/25,228,2026-02-26T04:01:19.132Z
6fe46287-fd2f-448a-8671-06b6341c9ad0,11/2/25,227,2026-02-26T04:01:19.342Z
8839b5bf-130a-47a7-ac70-4e9f65b5e160,11/3/25,226,2026-02-26T04:01:19.575Z
84351d68-c268-479a-9747-b1550ede9106,11/6/25,226,2026-02-26T04:01:19.704Z
d416fed2-bb0c-4363-8f17-46bc1c9cb6a7,11/10/25,225,2026-02-26T04:01:19.929Z
5302a2fa-e535-4dd9-ac7f-d59dace938b4,11/14/25,223,2026-02-26T04:01:20.055Z
a116b2a8-ff46-41a5-8eb5-b4768c9b36e9,11/15/25,222,2026-02-26T04:01:20.264Z
7d6e901d-4386-47c2-b3ff-435b1a7cf04f,11/18/25,220,2026-02-26T04:01:20.396Z
04064992-156f-4da8-8d08-b025f427fb20,11/25/25,218,2026-02-26T04:01:20.583Z
f1feef6c-fef6-46ce-8ccb-8b379963efd8,11/26/25,217,2026-02-26T04:01:20.803Z
5a6e5862-f28b-491a-be7f-d49d9ba23011,11/29/25,216,2026-02-26T04:01:21.032Z
9764e28f-a057-47bb-bca4-4fbdbc3d3e93,12/05/25,214,2026-02-26T04:01:21.229Z
1194ac05-83b3-4a85-8fbb-e3e234d34fe1,12/12/25,213,2026-02-26T04:01:21.453Z
fa64a4b5-6b62-463c-8ef6-eedab319386f,12/17/25,212,2026-02-26T04:01:21.544Z
e7a933c6-5004-49e7-a21a-de30ba00b877,12/31/25,211,2026-02-26T04:01:21.704Z
b2a5e4c7-f3a5-4fd0-97f6-77c48c41b701,1/2/26,210,2026-02-26T04:01:21.915Z
edd8856d-e109-4999-a01a-d4e4df419d31,1/8/26,208,2026-02-26T04:01:22.041Z
277ccbd3-6c51-4f94-b90d-dcee434094ee,1/9/26,207,2026-02-26T04:01:22.237Z
f438b381-5141-40ff-b57d-3dbaa7bcfccd,1/10/26,206,2026-02-26T04:01:22.465Z
38e632b1-9573-4496-a074-39441544933d,1/15/26,205,2026-02-26T04:01:22.589Z
0e9bcbcb-b609-4283-ae36-46b217be9fac,1/17/26,204,2026-02-26T04:01:22.813Z
8f041a38-e86a-4eea-9e0b-33313605550e,1/30/26,203,2026-02-26T04:01:23.029Z
44fdd542-9f26-458b-bc19-7658e1df2c0c,2/03/26,202,2026-02-26T04:01:23.158Z
538e9acd-91ff-4b3f-a0a3-9051d4c78fde,2/04/26,201,2026-02-26T04:01:23.263Z
07d9a07e-46de-425b-a5f9-12bc81e6818d,2/09/26,200,2026-02-26T04:01:23.452Z
b50cdb61-93db-4286-ae82-35e5a867f82c,2/12/26,199,2026-02-26T04:01:23.659Z
400dc661-7a19-4edf-a0c0-e56046dc39d5,2/15/26,198,2026-02-26T04:01:23.870Z
